budget,id,original_language,original_title,popularity,release_date,revenue,runtime,tagline,title,vote_average,vote_count
250000000,127585,en,X-Men: Days of Future Past,118.078691,5/15/14,747862775,131,"To save the future, they must alter the past",X-Men: Days of Future Past,7.5,6032
190000000,54138,en,Star Trek Into Darkness,78.291018,5/5/13,467365246,132,Earth Will Fall,Star Trek Into Darkness,7.4,4418
195000000,81005,en,Jack the Giant Slayer,43.349855,2/27/13,197687603,114,Prepare for a giant adventure,Jack the Giant Slayer,5.5,2598
105000000,64682,en,The Great Gatsby,61.196071,5/10/13,351040419,143,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,The Great Gatsby,7.3,3769
150000000,9543,en,Prince of Persia: The Sands of Time,62.169881,5/19/10,335154643,116,Defy the Future,Prince of Persia: The Sands of Time,6.2,2317
180000000,68726,en,Pacific Rim,56.523205,7/11/13,407602906,131,"To Fight Monsters, We Created Monsters",Pacific Rim,6.7,4794
195000000,38356,en,Transformers: Dark of the Moon,28.529607,6/28/11,1123746996,154,The invasion we always feared. An enemy we never expected.,Transformers: Dark of the Moon,6.1,3299
185000000,217,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,5/21/08,786636033,122,The adventure continues . . .,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
175000000,105864,en,The Good Dinosaur,51.692953,11/14/15,331926147,93,Little Arms With Big Attitude,The Good Dinosaur,6.6,1736
185000000,62177,en,Brave,125.114374,6/21/12,538983207,93,Change your fate.,Brave,6.7,4641
185000000,188927,en,Star Trek Beyond,65.352913,7/7/16,343471816,122,,Star Trek Beyond,6.6,2568
180000000,10681,en,WALL·E,66.390712,6/22/08,521311860,98,An adventure beyond the ordinar-E.,WALL·E,7.8,6296
140000000,5174,en,Rush Hour 3,22.57178,8/8/07,258022233,91,The Rush Is On!,Rush Hour 3,6.1,783
200000000,14161,en,2012,45.274225,10/10/09,769653595,158,We Were Warned.,2012,5.6,4903
200000000,17979,en,A Christmas Carol,39.744242,11/4/09,325233863,96,Season's Greedings,A Christmas Carol,6.6,1095
176000003,76757,en,Jupiter Ascending,85.36908,2/4/15,183987723,124,Expand your universe.,Jupiter Ascending,5.2,2768
180000000,258489,en,The Legend of Tarzan,42.741719,6/29/16,356743061,109,Human. Nature.,The Legend of Tarzan,5.5,2430
180000000,411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,12/7/05,748806957,143,Evil Has Reigned For 100 Years...,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
178000000,246655,en,X-Men: Apocalypse,139.272042,5/18/16,543934787,144,Only the strong will survive,X-Men: Apocalypse,6.4,4721
185000000,155,en,The Dark Knight,187.322927,7/16/08,1004558444,152,Why So Serious?,The Dark Knight,8.2,12002
175000000,14160,en,Up,92.201962,5/13/09,735099082,96,,Up,7.7,6870
175000000,15512,en,Monsters vs Aliens,36.167578,3/19/09,381509870,94,"When aliens attack, monsters fight back.",Monsters vs Aliens,6,1423
140000000,1726,en,Iron Man,120.725053,4/30/08,585174222,126,Heroes aren't born. They're built.,Iron Man,7.4,8776
170000000,44826,en,Hugo,32.319043,11/22/11,185770160,126,One of the most legendary directors of our time takes you on an extraordinary adventure.,Hugo,7,2141
170000000,8487,en,Wild Wild West,40.748915,6/29/99,222104681,106,It's a whole new west.,Wild Wild West,5.1,1020
145000000,1735,en,The Mummy: Tomb of the Dragon Emperor,60.034162,7/1/08,401128639,112,A New Evil Awakens.,The Mummy: Tomb of the Dragon Emperor,5.2,1387
175000000,297761,en,Suicide Squad,90.23792,8/2/16,745000000,123,Worst Heroes Ever,Suicide Squad,5.9,7458
175000000,2698,en,Evan Almighty,27.082182,6/9/07,173000000,96,A comedy of biblical proportions,Evan Almighty,5.3,1151
178000000,137113,en,Edge of Tomorrow,79.456485,5/27/14,370541256,113,"Live, Die, Repeat",Edge of Tomorrow,7.6,4858
175000000,9804,en,Waterworld,44.640292,7/28/95,264218220,135,Beyond the horizon lies the secret to a new beginning.,Waterworld,5.9,992
175000000,14869,en,G.I. Joe: The Rise of Cobra,32.852443,8/4/09,302469017,118,"When all else fails, they don't.",G.I. Joe: The Rise of Cobra,5.6,1962
175000000,150540,en,Inside Out,128.655964,6/9/15,857611174,94,Meet the little voices inside your head.,Inside Out,8,6560
175000000,278927,en,The Jungle Book,94.199316,4/7/16,966550600,106,,The Jungle Book,6.7,2892
200000000,10138,en,Iron Man 2,77.300194,4/28/10,623933331,124,"It's not the armor that makes the hero, but the man inside.",Iron Man 2,6.6,6849
170000000,58595,en,Snow White and the Huntsman,77.178973,5/30/12,396600000,127,The Fairytale is Over,Snow White and the Huntsman,5.8,3118
180000000,102651,en,Maleficent,110.620647,5/28/14,758539785,97,Don't believe the fairy tale.,Maleficent,7,4496
170000000,119450,en,Dawn of the Planet of the Apes,243.791743,6/26/14,710644566,130,One last chance for peace.,Dawn of the Planet of the Apes,7.3,4410
27000000,79698,en,The Lovers,2.418535,2/13/15,0,109,Love is longer than life.,The Lovers,4.8,34
175000000,64686,en,47 Ronin,41.796339,12/6/13,150962475,119,For courage. For loyalty. For honor.,47 Ronin,5.9,1326
170000000,100402,en,Captain America: The Winter Soldier,72.225265,3/20/14,714766572,136,In heroes we trust.,Captain America: The Winter Soldier,7.6,5764
165000000,10192,en,Shrek Forever After,44.041186,5/16/10,752600867,93,It ain't Ogre... Til it's Ogre,Shrek Forever After,6,1959
190000000,158852,en,Tomorrowland,130.311355,5/19/15,209154322,130,Imagine a world where nothing is impossible.,Tomorrowland,6.2,2846
165000000,177572,en,Big Hero 6,203.73459,10/24/14,652105443,102,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,7.8,6135
165000000,82690,en,Wreck-It Ralph,62.341073,11/1/12,471222889,108,The story of a regular guy just looking for a little wreck-ognition.,Wreck-It Ralph,7.1,4570
165000000,5255,en,The Polar Express,47.323228,11/10/04,305875730,100,This holiday season... believe.,The Polar Express,6.4,1474
165000000,47933,en,Independence Day: Resurgence,48.775723,6/22/16,389681935,120,We had twenty years to prepare. So did they.,Independence Day: Resurgence,4.9,2491
165000000,10191,en,How to Train Your Dragon,67.263269,3/5/10,494878759,98,One adventure will change two worlds,How to Train Your Dragon,7.5,4227
200000000,296,en,Terminator 3: Rise of the Machines,69.405188,7/2/03,435000000,109,The Machines Will Rise.,Terminator 3: Rise of the Machines,5.9,2143
170000000,118340,en,Guardians of the Galaxy,481.098624,7/30/14,773328629,121,All heroes start somewhere.,Guardians of the Galaxy,7.9,9742
165000000,157336,en,Interstellar,724.247784,11/5/14,675120017,169,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.1,10867
160000000,27205,en,Inception,167.58371,7/14/10,825532764,148,Your mind is the scene of the crime.,Inception,8.1,13752
15000000,315011,ja,シン・ゴジラ,9.476999,7/29/16,77000000,120,A god incarnate. A city doomed.,Shin Godzilla,6.5,143
250000000,49051,en,The Hobbit: An Unexpected Journey,108.849621,11/26/12,1021103568,169,From the smallest beginnings come the greatest legends.,The Hobbit: An Unexpected Journey,7,8297
38000000,9799,en,The Fast and the Furious,6.909942,6/22/01,207283925,106,Live life 1/4 mile at a time.,The Fast and the Furious,6.6,3428
150000000,4922,en,The Curious Case of Benjamin Button,60.269279,11/24/08,333932083,166,"Life isn't measured in minutes, but in moments.",The Curious Case of Benjamin Button,7.3,3292
160000000,49538,en,X-Men: First Class,3.195174,5/24/11,353624124,132,Witness the moment that will change our world.,X-Men: First Class,7.1,5181
160000000,131634,en,The Hunger Games: Mockingjay - Part 2,127.284427,11/18/15,653428261,137,The fire will burn forever.,The Hunger Games: Mockingjay - Part 2,6.6,3984
150000000,27022,en,The Sorcerer's Apprentice,35.580815,7/13/10,215283742,109,It's The Coolest Job Ever.,The Sorcerer's Apprentice,5.8,1470
160000000,503,en,Poseidon,21.133748,5/12/06,181674817,99,Mayday,Poseidon,5.5,583
170000000,241259,en,Alice Through the Looking Glass,56.268916,5/25/16,299370084,113,It's time for a little madness.,Alice Through the Looking Glass,6.5,1725
160000000,810,en,Shrek the Third,42.986467,5/17/07,798958165,93,Who's ready for Thirds?,Shrek the Third,6,2278
160000000,68735,en,Warcraft,63.148529,5/25/16,433677183,123,Two worlds. One home.,Warcraft,6.3,2268
155000000,87101,en,Terminator Genisys,202.042635,6/23/15,440603537,126,Reset the future,Terminator Genisys,5.8,3631
155000000,10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,49.661984,8/13/10,415686217,113,Return to magic. Return to hope. Return to Narnia.,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514
140000000,676,en,Pearl Harbor,34.20669,5/21/01,449220945,183,It takes a moment to change history. It takes love to change lives.,Pearl Harbor,6.6,1791
150000000,1858,en,Transformers,25.468493,6/27/07,709709780,144,Their war. Our world.,Transformers,6.6,4040
155000000,1966,en,Alexander,39.019229,11/21/04,167298192,175,The greatest legend of all was real.,Alexander,5.6,927
150000000,675,en,Harry Potter and the Order of the Phoenix,78.144395,6/28/07,938212738,138,Evil Must Be Confronted.,Harry Potter and the Order of the Phoenix,7.4,5494
150000000,674,en,Harry Potter and the Goblet of Fire,101.250416,11/5/05,895921036,157,Dark And Difficult Times Lie Ahead.,Harry Potter and the Goblet of Fire,7.5,5608
150000000,8960,en,Hancock,56.758411,7/1/08,624029371,92,Bad Behavior. Bad Attitude. Real Hero.,Hancock,6.2,2961
150000000,6479,en,I Am Legend,70.867401,12/14/07,585349010,101,The last man on Earth is not alone,I Am Legend,6.9,4853
150000000,118,en,Charlie and the Chocolate Factory,53.905592,7/13/05,474968763,115,Willy Wonka is semi-sweet and nuts.,Charlie and the Chocolate Factory,6.7,3624
150000000,2062,en,Ratatouille,65.677399,6/22/07,623722818,111,He's dying to become a chef.,Ratatouille,7.5,4369
150000000,272,en,Batman Begins,115.040024,6/10/05,374218673,140,Evil fears the knight.,Batman Begins,7.5,7359
150000000,10527,en,Madagascar: Escape 2 Africa,44.141021,10/30/08,603900354,89,Still together. Still lost!,Madagascar: Escape 2 Africa,6.2,1810
150000000,18360,en,Night at the Museum: Battle of the Smithsonian,81.781591,5/20/09,413106170,105,When the lights go off the battle is on.,Night at the Museum: Battle of the Smithsonian,5.9,1971
150000000,2080,en,X-Men Origins: Wolverine,5.954334,4/28/09,373062864,107,Witness the Origin.,X-Men Origins: Wolverine,6.2,4021
150000000,605,en,The Matrix Revolutions,73.313918,11/5/03,424988211,129,Everything that has a beginning has an end.,The Matrix Revolutions,6.4,3096
150000000,109445,en,Frozen,165.125366,11/27/13,1274219009,102,Only the act of true love will thaw a frozen heart.,Frozen,7.3,5295
150000000,604,en,The Matrix Reloaded,70.78591,5/15/03,738599701,138,Free your mind.,The Matrix Reloaded,6.7,3443
170000000,76338,en,Thor: The Dark World,99.499595,10/29/13,644571402,112,Delve into the darkness,Thor: The Dark World,6.8,4755
150000000,76341,en,Mad Max: Fury Road,434.278564,5/13/15,378858340,120,What a Lovely Day.,Mad Max: Fury Road,7.2,9427
150000000,13448,en,Angels & Demons,67.447636,5/13/09,356613439,138,,Angels & Demons,6.5,2129
150000000,10195,en,Thor,86.493424,4/21/11,449326618,115,Two worlds. One hero.,Thor,6.6,6525
150000000,13053,en,Bolt,41.845878,11/21/08,309979994,98,Fully Awesome. Ridonculous. Let It Begin.,Bolt,6.3,1750
150000000,19585,en,G-Force,26.710398,7/21/09,292817841,88,The world needs bigger heroes,G-Force,5.1,510
150000000,57165,en,Wrath of the Titans,44.927635,3/27/12,301000000,99,Feel the Wrath,Wrath of the Titans,5.5,1431
150000000,62213,en,Dark Shadows,50.306728,5/8/12,245527149,113,Every Family Has Its Demons,Dark Shadows,5.7,2320
150000000,177677,en,Mission: Impossible - Rogue Nation,114.522237,7/23/15,682330139,131,Desperate Times. Desperate Measures.,Mission: Impossible - Rogue Nation,7.1,3224
150000000,7978,en,The Wolfman,21.214571,2/11/10,0,102,When the moon is full the legend comes to life,The Wolfman,5.5,549
150000000,5559,en,Bee Movie,29.332905,10/28/07,287594577,91,Born to bee wild.,Bee Movie,5.7,1171
150000000,49444,en,Kung Fu Panda 2,51.247321,5/25/11,665692281,91,Prepare for the Year of Awesomeness!,Kung Fu Panda 2,6.7,1880
150000000,10196,en,The Last Airbender,33.769336,6/30/10,318502923,103,"Four nations, one destiny",The Last Airbender,4.7,1151
150000000,956,en,Mission: Impossible III,63.079003,5/3/06,397850012,126,The Mission Begins 05:05:06.,Mission: Impossible III,6.5,2028
150000000,117251,en,White House Down,39.004588,6/27/13,205366737,131,It will start like any other day.,White House Down,6.4,1891
150000000,50321,en,Mars Needs Moms,12.362599,3/9/11,38992758,88,Mom needs a little space.,Mars Needs Moms,5.5,199
149000000,11619,en,Flushed Away,22.550135,10/22/06,64459316,85,Someone's Going Down,Flushed Away,6,874
150000000,266647,en,Pan,48.03528,9/24/15,128388320,111,Every legend has a beginning.,Pan,5.9,954
145000000,82703,en,Mr. Peabody & Sherman,38.73494,2/7/14,272912430,92,He's Leaving His Mark On History,Mr. Peabody & Sherman,6.7,843
175000000,652,en,Troy,66.803149,5/13/04,497409852,163,For passion. For honor. For destiny. For victory. For love.,Troy,6.9,2759
145000000,80321,en,Madagascar 3: Europe's Most Wanted,44.989192,6/6/12,746921274,93,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",Madagascar 3: Europe's Most Wanted,6.4,1808
140000000,36669,en,Die Another Day,54.159392,11/17/02,431971116,133,He’s never been cooler.,Die Another Day,5.8,1092
144000000,43074,en,Ghostbusters,66.21806,7/14/16,229147509,116,Who You Gonna Call?,Ghostbusters,5.3,2142
140000000,95,en,Armageddon,58.485967,7/1/98,553799566,151,The Earth's Darkest Day Will Be Man's Finest Hour,Armageddon,6.4,2482
140000000,608,en,Men in Black II,91.332849,7/3/02,441818803,88,Same Planet. New Scum.,Men in Black II,6,3114
70000000,2310,en,Beowulf,35.601665,11/5/07,195735876,115,Evil breeds pain.,Beowulf,5.5,841
145000000,140300,en,Kung Fu Panda 3,56.747978,1/23/16,521170825,95,Grab destiny by the rice dumplings.,Kung Fu Panda 3,6.7,1603
145000000,56292,en,Mission: Impossible - Ghost Protocol,77.77477,12/7/11,694713380,133,No Plan. No Backup. No Choice.,Mission: Impossible - Ghost Protocol,6.8,3972
145000000,81188,en,Rise of the Guardians,61.788035,11/21/12,306941670,97,You better believe.,Rise of the Guardians,7.1,1922
100000000,7552,en,Fun with Dick and Jane,25.159168,12/21/05,202026112,90,Giving big businesses a run for their money!,Fun with Dick and Jane,5.9,627
140000000,616,en,The Last Samurai,52.341226,12/5/03,456758981,154,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",The Last Samurai,7.3,1895
140000000,147441,en,Exodus: Gods and Kings,101.599427,12/3/14,268031828,150,"Once brothers, now enemies.",Exodus: Gods and Kings,5.6,1921
150000000,13475,en,Star Trek,73.616808,5/6/09,385680446,127,The future begins.,Star Trek,7.4,4518
139000000,557,en,Spider-Man,82.502566,5/1/02,821708551,121,With great power comes great responsibility.,Spider-Man,6.8,5265
145000000,82702,en,How to Train Your Dragon 2,100.21391,6/12/14,609123048,102,The training is over.,How to Train Your Dragon 2,7.6,3106
140000000,205584,en,Gods of Egypt,56.257249,2/25/16,150680864,127,The battle for eternity begins,Gods of Egypt,5.3,1277
135000000,10048,en,Stealth,17.88953,7/28/05,76932943,121,Fear The Sky,Stealth,4.9,331
130000000,13183,en,Watchmen,64.798873,3/5/09,185258983,163,Justice is coming to all of us.  No matter what we do.,Watchmen,7,2811
140000000,944,en,Lethal Weapon 4,24.855701,7/10/98,285444603,127,The faces you love. The action you expect.,Lethal Weapon 4,6.3,767
137000000,1927,en,Hulk,34.981698,6/19/03,245360480,138,Unleash the hero within,Hulk,5.3,1533
130000000,72559,en,G.I. Joe: Retaliation,59.325589,3/26/13,371876278,110,,G.I. Joe: Retaliation,5.4,3025
130000000,7364,en,Sahara,21.605568,4/6/05,119269486,124,Dirk Pitt. Adventure has a new name.,Sahara,5.7,434
137000000,2114,en,Final Fantasy: The Spirits Within,26.074908,7/2/01,85131830,106,Unleash a new reality,Final Fantasy: The Spirits Within,5.9,433
140000000,1771,en,Captain America: The First Avenger,74.506246,7/22/11,370569774,124,When patriots become heroes,Captain America: The First Avenger,6.6,7047
135000000,36643,en,The World Is Not Enough,39.604363,11/8/99,361832400,128,As the countdown begins for the new millennium there is still one number you can always count on.,The World Is Not Enough,6,862
150000000,8619,en,Master and Commander: The Far Side of the World,36.973031,11/14/03,212011111,138,The courage to do the impossible lies in the hearts of men.,Master and Commander: The Far Side of the World,6.9,790
120000000,50620,en,The Twilight Saga: Breaking Dawn - Part 2,99.687084,11/13/12,829000000,115,The epic finale that will live forever,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553
130000000,65759,en,Happy Feet Two,17.7735,11/17/11,150406466,100,Every step counts.,Happy Feet Two,5.8,373
150000000,1724,en,The Incredible Hulk,62.898336,6/12/08,163712074,114,You'll like him when he's angry.,The Incredible Hulk,6.1,3021
140000000,267935,en,The BFG,44.19092,6/1/16,183345589,120,The world is more giant than you can imagine.,The BFG,6,1000
135000000,281957,en,The Revenant,100.635882,12/25/15,532950503,156,"(n. One who has returned, as if from the dead.)",The Revenant,7.3,6396
135000000,77950,en,Turbo,44.765377,7/11/13,282570682,96,SLO NO MO,Turbo,6.1,1074
135000000,44896,en,Rango,29.91353,3/2/11,245724603,107,Heroes come in all different colors.,Rango,6.6,2051
132000000,270946,en,Penguins of Madagascar,84.366984,11/22/14,373552094,92,The Movie Event That Will Blow Their Cover,Penguins of Madagascar,6.5,1346
70000000,2503,en,The Bourne Ultimatum,45.381501,8/3/07,442824138,115,Remember everything. Forgive nothing.,The Bourne Ultimatum,7.3,2888
130000000,9502,en,Kung Fu Panda,84.689648,6/4/08,631744560,90,Prepare for awesomeness.,Kung Fu Panda,6.9,3145
130000000,102899,en,Ant-Man,120.09361,7/14/15,519311965,117,Heroes don't get any bigger.,Ant-Man,7,5880
130000000,101299,en,The Hunger Games: Catching Fire,76.310119,11/15/13,847423452,146,Every revolution begins with a spark.,The Hunger Games: Catching Fire,7.4,6495
135000000,228161,en,Home,63.473086,3/18/15,368871007,94,Worlds Collide,Home,6.8,1519
132000000,74,en,War of the Worlds,48.572726,6/28/05,591739379,116,They're already here.,War of the Worlds,6.2,2322
130000000,8961,en,Bad Boys II,38.068736,7/18/03,273339556,147,"If you can't stand the heat, get out of Miami.",Bad Boys II,6.3,1564
130000000,417859,en,Puss in Boots,20.678787,10/28/11,554987477,90,Live for danger. Fight for justice. Pray for mercy.,Puss in Boots,6.4,451
110000000,27576,en,Salt,48.829437,7/21/10,293329073,100,Who is Salt?,Salt,6.2,2093
125000000,86834,en,Noah,46.115758,3/20/14,362637473,139,The end of the world is just the beginning.,Noah,5.6,2350
130000000,17578,en,The Adventures of Tintin,89.938296,10/25/11,371940071,107,"This year, discover how far adventure will take you.",The Adventures of Tintin,6.7,2061
130000000,673,en,Harry Potter and the Prisoner of Azkaban,79.679601,5/31/04,789804554,141,Something wicked this way comes.,Harry Potter and the Prisoner of Azkaban,7.7,5877
130000000,6972,en,Australia,28.840997,11/18/08,49554002,165,Welcome to Australia!,Australia,6.3,694
130000000,82700,en,After Earth,42.840582,5/30/13,243843127,100,"Danger is real, fear is a choice",After Earth,5,2532
127500000,10567,en,Dinosaur,26.548594,5/19/00,354248063,82,You have never seen anything like this.,Dinosaur,6.2,542
127000000,181533,en,Night at the Museum: Secret of the Tomb,115.597753,12/17/14,349424282,97,One Final Night to Save the Day.,Night at the Museum: Secret of the Tomb,6.1,1851
130000000,38055,en,Megamind,68.757242,10/28/10,321887208,95,His brain is off the chain.,Megamind,6.7,1918
125000000,671,en,Harry Potter and the Philosopher's Stone,109.984351,11/16/01,976475550,152,Let the Magic Begin.,Harry Potter and the Philosopher's Stone,7.5,7006
130000000,49524,en,R.I.P.D.,39.448066,7/18/13,61648500,96,To protect and serve the living,R.I.P.D.,5.4,1260
140000000,22,en,Pirates of the Caribbean: The Curse of the Black Pearl,271.972889,7/9/03,655011224,143,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985
125000000,131631,en,The Hunger Games: Mockingjay - Part 1,206.227151,11/18/14,752100229,123,Fire burns brighter in the darkness,The Hunger Games: Mockingjay - Part 1,6.6,5584
125000000,591,en,The Da Vinci Code,45.313197,5/17/06,767820459,149,Seek the truth.,The Da Vinci Code,6.5,2704
103000000,172385,en,Rio 2,42.40024,3/19/14,500188435,102,"He's villainous, she's venomous.",Rio 2,6.3,978
110000000,36658,en,X2,2.871739,4/24/03,407711549,133,The time has come for those who are different to stand united.,X2,6.8,3506
125000000,51497,en,Fast Five,7.255718,4/20/11,626137675,130,Get the Fifth Gear.,Fast Five,7.1,2438
125000000,58574,en,Sherlock Holmes: A Game of Shadows,81.499621,11/22/11,334615000,129,The game is afoot.,Sherlock Holmes: A Game of Shadows,7,3886
125000000,18823,en,Clash of the Titans,47.686442,4/1/10,232713139,106,Titans will clash.,Clash of the Titans,5.6,2233
65000000,861,en,Total Recall,43.129703,6/1/90,261317921,113,"They stole his mind, now he wants it back.",Total Recall,7.1,1710
160000000,1911,en,The 13th Warrior,27.220157,8/27/99,61698899,102,Prey for the living.,The 13th Warrior,6.4,510
130000000,49040,en,The Bourne Legacy,90.33681,8/8/12,276572938,120,There Was Never Just One,The Bourne Legacy,6,2651
125000000,415,en,Batman & Robin,50.073575,6/20/97,238207122,125,Strength. Courage. Honor. And loyalty.,Batman & Robin,4.2,1418
123000000,8871,en,How the Grinch Stole Christmas,45.419668,11/17/00,345141403,104,He puts the mean in green.,How the Grinch Stole Christmas,6.2,1386
