imdbId,movieId,tmdbId
tt0109635,225,8984
tt0109676,227,4954
tt0112854,228,62488
tt0109579,229,10531
tt0109642,230,11929
tt0109686,231,8467
tt0111797,232,10451
tt0109759,233,20156
tt0109758,234,18395
tt0109707,235,522
tt0113117,236,397
tt0113097,237,10525
tt0113028,238,27985
tt0113198,239,15789
tt0113303,240,27303
tt0113089,241,21183
tt0109771,242,10954
tt0113199,243,47867
tt0110057,246,14275
tt0110005,247,1024
tt0110066,248,17207
tt0110116,249,13701
tt0110006,250,14819
tt0113360,251,32631
tt0110099,252,11777
tt0110148,253,628
tt0113463,254,87729
tt0110189,255,18713
tt0110216,256,6280
tt0113501,257,9061
tt0113538,258,37108
tt0113552,259,6071
tt0076759,260,11
tt0110367,261,9587
tt0113670,262,19101
tt0110296,263,49980
tt0103994,265,18183
tt0110322,266,4476
tt0110443,267,11008
tt0107566,269,32325
tt0110391,270,43742
tt0113691,271,28313
tt0110428,272,11318
tt0109836,273,3036
tt0113755,274,40490
tt0110538,275,24070
tt0110516,276,8986
tt0110527,277,10510
tt0113808,278,17402
tt0113896,279,38722
tt0113870,280,8438
tt0110684,281,11593
tt0110638,282,1945
tt0113967,283,39310
tt0117169,284,109560
tt0106402,285,56428
tt0110671,287,131957
tt0110632,288,241
tt0110737,289,9058
tt0110729,290,527
tt0114151,291,18220
tt0114069,292,6950
tt0110413,293,101
tt0114113,294,63020
tt0114210,295,2307
tt0110912,296,680
tt0105652,298,25296
tt0110889,299,40156
tt0110932,300,11450
tt0114129,301,30304
tt0110963,302,10452
tt0114214,303,12106
tt0114296,304,161495
tt0110907,305,3586
tt0111495,306,110
tt0108394,307,108
tt0111507,308,109
tt0114268,310,36357
tt0110965,311,92769
tt0114571,312,28033
tt0111333,313,22586
tt0111112,314,14334
tt0111255,315,2636
tt0111282,316,2164
tt0111070,317,11395
tt0111161,318,278
tt0111149,319,9905
tt0108260,320,87078
tt0106966,321,12527
tt0114594,322,20306
tt0111309,324,36614
tt0113936,325,27993
tt0110081,326,31439
tt0114614,327,9067
tt0114608,328,9059
tt0111280,329,193
tt0114609,330,25066
tt0111454,331,46797
tt0114852,332,12122
tt0114694,333,11381
tt0111590,334,32636
tt0114788,335,36141
tt0114888,336,95963
tt0108550,337,1587
tt0114857,338,9271
tt0114924,339,2064
tt0111667,340,19855
tt0109655,341,60855
tt0110598,342,236
tt0112435,343,48287
tt0109040,344,3049
tt0109045,345,2759
tt0106339,346,12635
tt0104779,347,10497
tt0109348,348,11382
tt0109444,349,9331
tt0109446,350,10731
tt0109484,351,10464
tt0109504,352,34152
tt0109506,353,9495
tt0109450,354,29973
tt0109813,355,888
tt0109830,356,13
tt0109831,357,712
tt0113305,358,16295
tt0110091,359,48992
tt0110093,360,10879
tt0110167,361,10660
tt0110213,362,10714
tt0107472,363,41647
tt0110357,364,8587
tt0107426,365,1689
tt0111686,366,11596
tt0110475,367,854
tt0110478,368,9359
tt0110588,369,23333
tt0110622,370,36593
tt0110771,371,12280
tt0110950,372,2788
tt0105226,373,10427
tt0110989,374,11011
tt0110997,376,8987
tt0111257,377,1637
tt0111256,378,15128
tt0111438,379,8831
tt0111503,380,36955
tt0111693,381,10449
tt0111742,382,10395
tt0111756,383,12160
tt0112443,384,40480
tt0110455,385,52038
tt0111048,386,29444
tt0110399,387,26352
tt0112570,388,39953
tt0109454,389,41580
tt0059170,390,315
tt0110186,391,22067
tt0111301,393,11667
tt0110027,405,8011
tt0109785,406,171857
tt0113409,407,2654
tt0109021,408,18069
tt0109035,409,19092
tt0106220,410,2758
tt0106226,412,10436
tt0109068,413,13595
tt0109067,414,46094
tt0106292,415,9409
tt0109198,416,11853
tt0109219,417,16771
tt0106379,418,46924
tt0106400,419,11041
tt0109254,420,306
tt0109279,421,14522
tt0109297,422,26203
tt0109303,423,178
tt0109305,424,19819
tt0109306,425,57834
tt0106452,426,4722
tt0106471,427,18215
tt0106489,428,1607
tt0109361,429,26391
tt0106505,430,117553
tt0106519,431,6075
tt0109439,432,11310
tt0109443,433,18658
tt0106582,434,9350
tt0106598,435,9612
tt0109456,436,2124
tt0109480,437,26261
tt0109493,438,19176
tt0106673,440,11566
tt0106677,441,9571
tt0106697,442,9739
tt0106834,444,34444
tt0106873,445,26141
tt0106332,446,10997
tt0106881,448,10443
tt0106880,449,20239
tt0111732,450,16297
tt0106926,451,18551
tt0111712,452,25440
tt0106941,453,9024
tt0106918,454,37233
tt0106965,455,1634
tt0109842,456,13815
tt0106977,457,5503
tt0107004,458,35588
tt0109890,459,2087
tt0109891,460,41579
tt0109913,461,18620
tt0107076,464,2019
tt0107144,466,9255
tt0113674,467,26271
tt0112966,468,10612
tt0107151,469,2259
tt0110064,470,16097
tt0110074,471,11934
tt0110097,472,106143
tt0110123,473,12475
tt0107206,474,9386
tt0107207,475,7984
tt0110137,476,59930
tt0108551,477,15765
tt0110197,478,31643
tt0107286,479,6
tt0107290,480,329
tt0107302,481,10909
tt0110265,482,507
tt0110305,484,29918
tt0107362,485,9593
tt0107413,486,42580
tt0110353,487,22317
tt0107468,488,1413
tt0107478,489,12121
tt0107497,490,2246
tt0107501,491,10502
tt0107507,492,10440
tt0107554,493,9516
tt0116253,494,2320
tt0074102,495,5879
tt0111689,496,83718
tt0107616,497,11971
tt0107613,499,31911
tt0107614,500,788
tt0107653,501,21450
tt0110657,502,11231
tt0110678,504,10447
tt0110687,505,31586
tt0107756,506,9300
tt0107808,507,9559
tt0107818,508,9800
tt0107822,509,713
tt0107840,510,8291
tt0107889,511,18133
tt0111003,512,25557
tt0110939,513,22588
tt0110955,514,10872
tt0107943,515,1245
tt0110971,516,11858
tt0107969,517,7007
tt0111001,518,10467
tt0107978,519,5550
tt0107977,520,8005
tt0107983,521,2088
tt0105275,522,10412
tt0108000,523,47889
tt0108002,524,14534
tt0105032,526,41878
tt0108052,527,424
tt0111094,528,35233
tt0108065,529,14291
tt0108071,531,11236
tt0111127,532,11592
tt0111143,533,8850
tt0108101,534,10445
tt0108122,535,695
tt0111194,536,43535
tt0111201,537,12519
tt0108149,538,23210
tt0108160,539,858
tt0108162,540,867
tt0083658,541,78
tt0108186,542,13203
tt0108174,543,10442
tt0108238,544,11074
tt0108255,546,9607
tt0111323,547,17585
tt0111400,548,9057
tt0108328,549,20967
tt0111418,550,10635
tt0107688,551,9479
tt0108333,552,10057
tt0108358,553,11969
tt0108399,555,319
tt0108515,556,26408
tt0110763,558,15139
tt0114906,562,11446
tt0107002,563,51980
tt0109403,564,24405
tt0107315,567,8223
tt0106408,568,14587
tt0110363,569,31504
tt0107225,573,23637
tt0111252,574,17600
tt0110366,575,10897
tt0109120,577,21352
tt0108059,579,68806
tt0110892,580,37345
tt0112651,581,32562
tt0109382,583,25403
tt0112572,585,9066
tt0099785,586,771
tt0099653,587,251
tt0103639,588,812
tt0103064,589,280
tt0099348,590,581
tt0096895,592,268
tt0102926,593,274
tt0029583,594,408
tt0101414,595,10020
tt0032910,596,10895
tt0100405,597,114
tt0065214,599,576
tt0110395,600,15477
tt0109934,602,124472
tt0117247,605,7300
tt0112625,606,10824
tt0116282,608,275
tt0116552,609,25059
tt0082509,610,11827
tt0116514,611,8766
tt0117283,612,23570
tt0116684,613,47333
tt0070506,615,51242
tt0065421,616,10112
tt0113083,617,4307
tt0118001,618,46029
tt0116165,619,32308
tt0117891,626,28121
tt0113613,627,12520
tt0117381,628,1592
tt0115509,631,19042
tt0114671,632,38884
tt0112844,633,47449
tt0114658,634,36259
tt0116275,635,41852
tt0113122,636,40926
tt0117608,637,9099
tt0113448,638,2021
tt0116414,639,61752
tt0116095,640,10988
tt0113947,645,12652
tt0115956,647,10684
tt0117060,648,954
tt0109028,649,68445
tt0117071,650,18989
tt0116136,653,8840
tt0116168,656,11107
tt0116683,661,10539
tt0116287,662,10543
tt0116768,663,18414
tt0114787,665,11902
tt0112536,667,25087
tt0048473,668,5801
tt0052572,670,896
tt0117128,671,3065
tt0117705,673,2300
tt0062711,674,8069
tt0108181,678,27768
tt0114307,679,221917
tt0058898,680,8072
tt0113443,685,33245
tt0114048,688,27281
tt0117104,691,40001
tt0117688,692,29621
tt0117774,694,20762
tt0114736,695,37144
tt0116289,697,12656
tt0109593,698,38867
tt0112368,700,25969
tt0115742,703,43634
tt0117420,704,9103
tt0117784,706,29649
tt0117107,707,10990
tt0117979,708,8866
tt0095776,709,12233
tt0115851,710,23449
tt0116322,711,36355
tt0112817,714,922
tt0113362,715,11876
tt0108500,718,11687
tt0117108,719,9304
tt0118114,720,503475
tt0113270,722,73183
tt0115963,724,9100
tt0116448,725,20759
tt0116827,726,46063
tt0112701,728,32513
tt0116508,731,36915
tt0117500,733,9802
tt0109592,735,21588
tt0117998,736,664
tt0115624,737,11867
tt0113568,741,9323
tt0117894,742,10280
tt0117723,743,10535
tt0112691,745,532
tt0117768,747,16299
tt0115571,748,10547
tt0057012,750,935
tt0109688,757,40751
tt0110480,759,85778
tt0108211,760,11101
tt0117331,761,9826
tt0117765,762,9879
tt0113280,764,22621
tt0116669,765,7095
tt0116594,766,26890
tt0070820,773,77771
tt0063715,775,41225
tt0117951,778,627
tt0118523,779,32872
tt0116629,780,602
tt0117737,781,14553
tt0116277,782,9566
tt0116583,783,10545
tt0115798,784,9894
tt0116778,785,11543
tt0116213,786,9268
tt0117218,788,9327
tt0111546,790,81949
tt0113610,791,
tt0111237,795,44535
tt0116040,798,11228
tt0116365,799,10779
tt0116905,800,26748
tt0116493,801,38223
tt0117333,802,9294
tt0118113,803,49963
tt0117628,804,11363
tt0117913,805,1645
tt0115530,806,31546
tt0115493,808,36344
tt0116320,809,18550
tt0116756,810,11511
tt0116823,813,34170
tt0118073,818,12606
tt0061495,823,4837
tt0110246,824,12632
tt0115472,828,18975
tt0116707,829,11962
tt0116313,830,2925
tt0117438,832,3595
tt0116531,833,9308
tt0116353,835,18555
tt0115857,836,12123
tt0117008,837,10830
tt0116191,838,3573
tt0115986,839,10546
tt0116571,840,18862
tt0053459,841,31417
tt0117826,842,9431
tt0117718,848,47907
tt0116225,849,10061
tt0115632,851,549
tt0117918,852,10478
tt0068646,858,238
tt0104558,861,11134
tt0115736,866,9303
tt0115836,867,23945
tt0116745,869,22479
tt0119214,870,9054
tt0110693,875,410921
tt0106544,876,38955
tt0120004,879,11015
tt0116654,880,9306
tt0116311,881,12559
tt0117965,882,58770
tt0115725,885,3587
tt0115783,886,10723
tt0113596,888,19004
tt0109001,889,101230
tt0113253,891,10987
tt0117991,892,44705
tt0117093,893,20318
tt0111019,896,26933
tt0035896,897,27854
tt0032904,898,981
tt0045152,899,872
tt0043278,900,2769
tt0050419,901,13320
tt0054698,902,164
tt0052357,903,426
tt0047396,904,567
tt0025316,905,3078
tt0036855,906,13528
tt0025164,907,28288
tt0053125,908,213
tt0053604,909,284
tt0053291,910,239
tt0056923,911,4808
tt0034583,912,289
tt0033870,913,963
tt0058385,914,11113
tt0047437,915,6620
tt0046250,916,804
tt0031580,917,26531
tt0037059,918,909
tt0032138,919,630
tt0031381,920,770
tt0084370,921,31044
tt0043014,922,599
tt0033467,923,15
tt0062622,924,62
tt0042192,926,705
tt0032143,927,22490
tt0032976,928,223
tt0032484,929,25670
tt0038787,930,303
tt0038109,931,4174
tt0050105,932,8356
tt0048728,933,381
tt0042451,934,20758
tt0045537,935,29376
tt0031725,936,1859
tt0050658,937,18299
tt0051658,938,17281
tt0029843,940,10907
tt0032762,941,32093
tt0037008,942,1939
tt0039420,943,22292
tt0029162,944,3598
tt0027125,945,3080
tt0035446,946,198
tt0028010,947,13562
tt0049261,948,1712
tt0048028,949,220
tt0025878,950,3529
tt0032599,951,3085
tt0048960,952,2897
tt0038650,953,1585
tt0031679,954,3083
tt0029947,955,900
tt0034012,956,43795
tt0025586,959,43905
tt0027893,961,23114
tt0041509,963,40206
tt0026029,965,260
tt0063350,968,10331
tt0043265,969,488
tt0046414,970,22733
tt0051459,971,261
tt0033891,973,32574
tt0022879,976,22649
tt0114007,979,125587
tt0118927,981,52855
tt0048491,982,39940
tt0117357,984,85328
tt0116329,986,11076
tt0118742,987,63945
tt0116442,988,58985
tt0117011,990,10861
tt0117039,991,1770
tt0116635,993,2033
tt0115678,994,18203
tt0116830,996,9333
tt0117603,998,9400
tt0115438,999,9401
tt0116259,1003,11306
tt0116421,1004,9625
tt0116000,1005,10680
tt0115862,1006,6346
tt0072653,1007,18660
tt0047977,1008,35115
tt0072951,1009,14821
tt0064603,1010,14136
tt0071607,1011,10869
tt0050798,1012,22660
tt0055277,1013,19186
tt0054195,1014,31102
tt0107131,1015,6878
tt0053271,1016,15944
tt0054357,1017,18444
tt0059793,1018,20723
tt0046672,1019,173
tt0106611,1020,864
tt0109127,1021,24795
tt0042332,1022,11224
tt0063819,1023,81310
tt0038166,1024,15947
tt0057546,1025,9078
tt0102798,1027,8367
tt0058331,1028,433
tt0033563,1029,11360
tt0076538,1030,11114
tt0066817,1031,12335
tt0043274,1032,12092
tt0082406,1033,10948
tt0116361,1034,11229
tt0059742,1035,15121
tt0095016,1036,562
tt0104692,1037,10163
tt0117582,1040,47199
tt0117589,1041,11159
tt0117887,1042,9591
tt0117924,1043,30500
tt0115640,1046,10938
tt0116908,1047,11412
tt0116409,1049,10586
tt0116913,1050,42314
tt0117958,1051,27845
tt0117202,1053,23223
tt0116404,1054,49471
tt0120107,1055,38153
tt0116722,1056,25147
tt0116242,1057,9716
tt0117509,1059,454
tt0117802,1060,10218
tt0117665,1061,819
tt0115491,1064,11238
tt0029546,1066,31530
tt0039286,1068,28120
tt0067992,1073,252
tt0055018,1076,16372
tt0070707,1077,11561
tt0066808,1078,11302
tt0095159,1079,623
tt0079470,1080,583
tt0084865,1081,12614
tt0068334,1082,21711
tt0059243,1083,11575
tt0061418,1084,475
tt0052027,1085,11331
tt0046912,1086,521
tt0092890,1088,88
tt0105236,1089,500
tt0091763,1090,792
tt0098627,1091,8491
tt0103772,1092,402
tt0101761,1093,10537
tt0104036,1094,11386
tt0104348,1095,9504
tt0084707,1096,15764
tt0083866,1097,601
tt0029992,1099,25842
tt0099371,1100,2119
tt0092099,1101,744
tt0048545,1103,221
tt0044081,1104,702
tt0115885,1105,25750
tt0102336,1107,
tt0117040,1111,9305
tt0117284,1112,37616
tt0116378,1114,21612
tt0113057,1116,102461
tt0116581,1117,36998
tt0112907,1119,116844
tt0117318,1120,1630
tt0116422,1121,26626
tt0117320,1123,124837
tt0082846,1124,11816
tt0072081,1125,11843
tt0101775,1126,10379
tt0096754,1127,2756
tt0080749,1128,790
tt0082340,1129,1103
tt0082533,1130,11298
tt0091288,1131,4480
tt0091480,1132,4481
tt0081375,1135,10765
tt0071853,1136,762
tt0116587,1137,44497
tt0116212,1140,99479
tt0116886,1144,124829
tt0118147,1147,10548
tt0108598,1148,531
tt0084589,1150,4483
tt0109781,1151,18919
tt0034493,1156,61461
tt0078875,1161,659
tt0069198,1162,30892
tt0110521,1163,86369
tt0116059,1167,38554
tt0112483,1170,36555
tt0103850,1171,10608
tt0095765,1172,11216
tt0097108,1173,7452
tt0101700,1175,892
tt0101765,1176,1600
tt0101811,1177,26561
tt0050825,1178,975
tt0099703,1179,18129
tt0102014,1180,54405
tt0116209,1183,409
tt0102426,1184,38251
tt0097937,1185,10161
tt0098724,1186,1412
tt0105107,1187,41768
tt0105488,1188,10409
tt0096257,1189,14285
tt0101026,1190,2469
tt0102370,1191,10174
tt0100332,1192,31225
tt0073486,1193,510
tt0078446,1194,11455
tt0080684,1196,1891
tt0093779,1197,2493
tt0082971,1198,85
tt0088846,1199,68
tt0090605,1200,679
tt0060196,1201,429
tt0094336,1202,13446
tt0050083,1203,389
tt0056172,1204,947
tt0066921,1206,185
tt0056592,1207,595
tt0078788,1208,28
tt0064116,1209,335
tt0086190,1210,1892
tt0093191,1211,144
tt0041959,1212,1092
tt0099685,1213,769
tt0078748,1214,348
tt0106308,1215,766
tt0095250,1216,175
tt0089881,1217,11645
tt0097202,1218,10835
tt0054215,1219,539
tt0080455,1220,525
tt0071562,1221,240
tt0093058,1222,600
tt0104361,1223,530
tt0097499,1224,10705
tt0086879,1225,279
tt0045061,1226,3109
tt0087843,1227,311
tt0081398,1228,1578
tt0075686,1230,703
tt0086197,1231,9549
tt0079944,1232,1398
tt0082096,1233,387
tt0070735,1234,9277
tt0067185,1235,343
tt0103130,1236,37291
tt0050976,1237,490
tt0085859,1238,11235
tt0088247,1240,218
tt0103873,1241,763
tt0097441,1242,9665
tt0100519,1243,18971
tt0079522,1244,696
tt0100150,1245,379
tt0097165,1246,207
tt0061722,1247,37247
tt0052311,1248,1480
tt0100263,1249,9322
tt0050212,1250,826
tt0056801,1251,422
tt0071315,1252,829
tt0043456,1253,828
tt0040897,1254,3090
tt0092610,1255,9964
tt0023969,1256,3063
tt0088794,1257,13667
tt0081505,1258,694
tt0092005,1259,235
tt0022100,1260,832
tt0092991,1261,765
tt0057115,1262,5925
tt0077416,1263,11778
tt0082269,1264,4485
tt0107048,1265,137
tt0105695,1266,33
tt0056218,1267,982
tt0100436,1268,8428
tt0036613,1269,212
tt0088763,1270,105
tt0101921,1271,1633
tt0066206,1272,11202
tt0090967,1273,1554
tt0094625,1274,149
tt0091203,1275,8009
tt0061512,1276,903
tt0099334,1277,11673
tt0072431,1278,3034
tt0102536,1279,339
tt0101640,1280,10404
tt0032553,1281,914
tt0032455,1282,756
tt0044706,1283,288
tt0038355,1284,910
tt0097493,1285,2640
tt0081534,1286,16633
tt0052618,1287,665
tt0088258,1288,11031
tt0085809,1289,11314
tt0094006,1290,15143
tt0097576,1291,89
tt0078841,1292,10322
tt0083987,1293,783
tt0096332,1295,10644
tt0091867,1296,11257
tt0089886,1297,14370
tt0084503,1298,12104
tt0087553,1299,625
tt0089606,1300,8816
tt0049223,1301,830
tt0097351,1302,2323
tt0073341,1303,983
tt0064115,1304,642
tt0087884,1305,655
tt0101458,1306,10341
tt0098635,1307,639
tt0116589,1310,30180
tt0116293,1312,41801
tt0112537,1318,18762
tt0103644,1320,8077
tt0082010,1321,814
tt0103678,1322,41671
tt0085159,1323,27214
tt0115535,1324,52263
tt0106262,1325,33519
tt0083550,1326,16235
tt0078767,1327,11449
tt0099030,1328,41848
tt0071233,1329,25944
tt0090655,1330,24913
tt0075704,1331,49126
tt0092632,1332,32076
tt0056869,1333,571
tt0051418,1334,8851
tt0082083,1335,37843
tt0101492,1336,32146
tt0037549,1337,30346
tt0103874,1339,6114
tt0026138,1340,229
tt0074258,1341,13549
tt0103919,1342,9529
tt0101540,1343,1598
tt0055824,1344,11349
tt0074285,1345,7340
tt0083722,1346,6217
tt0087800,1347,377
tt0013442,1348,653
tt0091651,1349,28198
tt0075005,1350,794
tt0115710,1351,31640
tt0115495,1352,8744
tt0117057,1353,25189
tt0115751,1354,145
tt0119791,1355,2212
tt0117731,1356,199
tt0117631,1357,7863
tt0117666,1358,12498
tt0116705,1359,9279
tt0117293,1361,17204
tt0117372,1363,21539
tt0117477,1365,12709
tt0115988,1366,20539
tt0115433,1367,11674
tt0099423,1370,1573
tt0079945,1371,152
tt0102975,1372,174
tt0098382,1373,172
tt0084726,1374,154
tt0088170,1375,157
tt0092007,1376,168
tt0103776,1377,364
tt0096487,1378,11967
tt0100994,1379,9086
tt0077631,1380,621
tt0084021,1381,9037
tt0100114,1382,10173
tt0105690,1385,8845
tt0073195,1387,578
tt0077766,1388,579
tt0085750,1389,17692
tt0117119,1390,17795
tt0116996,1391,75
tt0115906,1392,13891
tt0116695,1393,9390
tt0093822,1394,378
tt0094155,1395,10896
tt0105435,1396,2322
tt0115633,1397,41240
tt0116621,1398,26949
tt0116999,1399,9819
tt0116410,1401,31908
tt0115641,1405,3179
tt0112769,1406,1802
tt0117571,1407,4232
tt0104691,1408,9361
tt0117038,1409,2928
tt0116477,1411,10549
tt0117690,1412,58102
tt0118163,1413,18451
tt0117091,1414,27265
tt0118100,1415,49935
tt0116250,1416,8818
tt0117364,1417,36758
tt0067959,1419,36040
tt0119731,1422,9415
tt0116506,1423,55146
tt0119115,1425,12145
tt0120550,1426,42424
tt0120390,1427,34314
tt0112362,1428,2892
tt0116704,1429,9404
tt0120414,1430,85242
tt0118708,1431,9622
tt0119664,1432,8860
tt0106535,1437,14832
tt0118928,1438,9619
tt0119644,1439,40506
tt0106266,1440,31000
tt0106387,1441,4104
tt0119937,1442,26306
tt0119640,1445,14908
tt0116790,1446,784
tt0119225,1447,12489
tt0118111,1449,16448
tt0118691,1453,17894
tt0120238,1454,28059
tt0119887,1456,17949
tt0119141,1457,1968
tt0120357,1458,61563
tt0118548,1459,66
tt0120317,1460,20735
tt0120434,1461,11419
tt0116922,1464,638
tt0120036,1465,25624
tt0119008,1466,9366
tt0118750,1468,21915
tt0118702,1473,19952
tt0119432,1474,9446
tt0116743,1475,28005
tt0119951,1476,9403
tt0119572,1477,27322
tt0120053,1479,10003
tt0120152,1480,9311
tt0115964,1483,884
tt0116041,1484,49806
tt0119528,1485,1624
tt0120094,1487,16052
tt0118972,1488,4477
tt0118829,1489,24662
tt0118663,1490,18423
tt0116931,1493,76996
tt0120389,1495,6499
tt0118623,1496,50512
tt0119013,1497,9405
tt0119381,1498,12723
tt0118615,1499,9360
tt0119229,1500,9434
tt0116783,1502,21626
tt0118541,1503,13982
tt0119859,1507,77223
tt0120032,1513,9611
tt0116295,1514,47694
tt0120461,1515,10357
tt0115886,1516,9977
tt0118655,1517,816
tt0118771,1518,2163
tt0115760,1519,124680
tt0119109,1526,12499
tt0119116,1527,18
tt0119809,1529,1811
tt0117398,1533,105045
tt0117615,1537,11239
tt0118556,1541,2058
tt0115744,1542,9450
tt0119567,1544,330
tt0117359,1545,38523
tt0117561,1546,16375
tt0120118,1547,33660
tt0114303,1549,45671
tt0120373,1550,17770
tt0118787,1551,15170
tt0118880,1552,1701
tt0114134,1554,26422
tt0120179,1556,1639
tt0118688,1562,415
tt0120034,1564,65889
tt0116502,1565,11103
tt0119282,1566,11970
tt0119738,1569,8874
tt0115856,1571,11956
tt0057345,1572,266
tt0119094,1573,754
tt0119098,1574,37567
tt0119654,1580,607
tt0119848,1581,18080
tt0120512,1582,38225
tt0120133,1583,17834
tt0118884,1584,686
tt0116930,1585,65046
tt0119173,1586,4421
tt0082198,1587,9387
tt0119190,1588,10603
tt0118887,1589,2142
tt0119081,1590,8413
tt0120177,1591,10336
tt0118570,1592,20737
tt0119896,1593,9413
tt0119361,1594,14585
tt0118818,1596,49462
tt0118883,1597,8834
tt0118966,1598,9458
tt0120207,1599,8854
tt0120112,1600,38295
tt0119311,1601,22073
tt0119509,1602,37244
tt0119675,1603,4961
tt0119695,1604,9416
tt0119086,1605,26180
tt0119484,1606,17832
tt0118571,1608,9772
tt0118531,1609,6072
tt0099810,1610,1669
tt0102494,1611,468
tt0119465,1612,32519
tt0120197,1613,108401
tt0119360,1614,10806
tt0119051,1615,9433
tt0119874,1616,6623
tt0119488,1617,2118
tt0120102,1619,978
tt0119468,1620,9437
tt0120169,1621,29461
tt0120524,1623,10351
tt0120323,1624,66588
tt0119174,1625,2649
tt0119123,1626,14289
tt0120399,1627,10155
tt0119632,1629,20457
tt0118647,1631,18355
tt0120402,1633,55306
tt0119349,1635,68924
tt0118842,1639,2255
tt0119164,1641,9427
tt0116631,1642,172545
tt0119280,1643,17589
tt0119345,1644,3597
tt0118971,1645,1813
tt0120029,1646,36797
tt0119906,1647,12628
tt0119324,1648,33344
tt0119107,1649,25099
tt0120481,1650,45019
tt0120539,1652,62422
tt0119177,1653,782
tt0119095,1654,29911
tt0119891,1655,9827
