,genre,movieID,title
106,Animation,62211,Monsters University
107,Family,62211,Monsters University
108,SciFi,8373,Transformers: Revenge of the Fallen
109,Action,8373,Transformers: Revenge of the Fallen
110,Adventure,8373,Transformers: Revenge of the Fallen
111,SciFi,91314,Transformers: Age of Extinction
112,Action,91314,Transformers: Age of Extinction
113,Adventure,91314,Transformers: Age of Extinction
114,Fantasy,68728,Oz: The Great and Powerful
115,Adventure,68728,Oz: The Great and Powerful
116,Family,68728,Oz: The Great and Powerful
117,Action,102382,The Amazing Spider-Man 2
118,Adventure,102382,The Amazing Spider-Man 2
119,Fantasy,102382,The Amazing Spider-Man 2
120,Adventure,20526,TRON: Legacy
121,Action,20526,TRON: Legacy
122,SciFi,20526,TRON: Legacy
123,Animation,49013,Cars 2
124,Family,49013,Cars 2
125,Adventure,49013,Cars 2
126,Comedy,49013,Cars 2
127,Adventure,44912,Green Lantern
128,Action,44912,Green Lantern
129,Thriller,44912,Green Lantern
130,SciFi,44912,Green Lantern
131,Animation,10193,Toy Story 3
132,Family,10193,Toy Story 3
133,Comedy,10193,Toy Story 3
134,Action,534,Terminator Salvation
135,SciFi,534,Terminator Salvation
136,Thriller,534,Terminator Salvation
137,Action,168259,Furious 7
138,Action,72190,World War Z
139,Drama,72190,World War Z
140,Horror,72190,World War Z
141,SciFi,72190,World War Z
142,Thriller,72190,World War Z
143,Action,127585,X-Men: Days of Future Past
144,Adventure,127585,X-Men: Days of Future Past
145,Fantasy,127585,X-Men: Days of Future Past
146,SciFi,127585,X-Men: Days of Future Past
147,Action,54138,Star Trek Into Darkness
148,Adventure,54138,Star Trek Into Darkness
149,SciFi,54138,Star Trek Into Darkness
150,Action,81005,Jack the Giant Slayer
151,Family,81005,Jack the Giant Slayer
152,Fantasy,81005,Jack the Giant Slayer
153,Drama,64682,The Great Gatsby
154,Romance,64682,The Great Gatsby
155,Adventure,9543,Prince of Persia: The Sands of Time
156,Fantasy,9543,Prince of Persia: The Sands of Time
157,Action,9543,Prince of Persia: The Sands of Time
158,Romance,9543,Prince of Persia: The Sands of Time
159,Action,68726,Pacific Rim
160,SciFi,68726,Pacific Rim
161,Adventure,68726,Pacific Rim
162,Action,38356,Transformers: Dark of the Moon
163,SciFi,38356,Transformers: Dark of the Moon
164,Adventure,38356,Transformers: Dark of the Moon
165,Adventure,217,Indiana Jones and the Kingdom of the Crystal Skull
166,Action,217,Indiana Jones and the Kingdom of the Crystal Skull
167,Adventure,105864,The Good Dinosaur
168,Animation,105864,The Good Dinosaur
169,Family,105864,The Good Dinosaur
170,Animation,62177,Brave
171,Adventure,62177,Brave
172,Comedy,62177,Brave
173,Family,62177,Brave
174,Action,62177,Brave
175,Fantasy,62177,Brave
176,Action,188927,Star Trek Beyond
177,Adventure,188927,Star Trek Beyond
178,SciFi,188927,Star Trek Beyond
179,Animation,10681,WALL·E
180,Family,10681,WALL·E
181,Action,5174,Rush Hour 3
182,Comedy,5174,Rush Hour 3
183,Crime,5174,Rush Hour 3
184,Thriller,5174,Rush Hour 3
185,Action,14161,2012
186,Adventure,14161,2012
187,SciFi,14161,2012
188,Animation,17979,A Christmas Carol
189,Drama,17979,A Christmas Carol
190,SciFi,76757,Jupiter Ascending
191,Fantasy,76757,Jupiter Ascending
192,Action,76757,Jupiter Ascending
193,Adventure,76757,Jupiter Ascending
194,Action,258489,The Legend of Tarzan
195,Adventure,258489,The Legend of Tarzan
196,Adventure,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
197,Family,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
198,Fantasy,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
199,SciFi,246655,X-Men: Apocalypse
200,Drama,155,The Dark Knight
201,Action,155,The Dark Knight
202,Crime,155,The Dark Knight
203,Thriller,155,The Dark Knight
204,Animation,14160,Up
205,Comedy,14160,Up
206,Family,14160,Up
207,Adventure,14160,Up
208,Animation,15512,Monsters vs Aliens
209,Family,15512,Monsters vs Aliens
210,Adventure,15512,Monsters vs Aliens
211,SciFi,15512,Monsters vs Aliens
212,Action,1726,Iron Man
213,SciFi,1726,Iron Man
214,Adventure,1726,Iron Man
215,Adventure,44826,Hugo
216,Drama,44826,Hugo
217,Family,44826,Hugo
218,Action,8487,Wild Wild West
219,Adventure,8487,Wild Wild West
220,Comedy,8487,Wild Wild West
221,SciFi,8487,Wild Wild West
222,Western,8487,Wild Wild West
223,Adventure,1735,The Mummy: Tomb of the Dragon Emperor
224,Action,1735,The Mummy: Tomb of the Dragon Emperor
225,Fantasy,1735,The Mummy: Tomb of the Dragon Emperor
226,Action,297761,Suicide Squad
227,Adventure,297761,Suicide Squad
228,Crime,297761,Suicide Squad
229,Fantasy,297761,Suicide Squad
230,SciFi,297761,Suicide Squad
231,Fantasy,2698,Evan Almighty
232,Comedy,2698,Evan Almighty
233,Family,2698,Evan Almighty
234,Action,137113,Edge of Tomorrow
235,SciFi,137113,Edge of Tomorrow
236,Adventure,9804,Waterworld
237,Action,9804,Waterworld
238,Adventure,14869,G.I. Joe: The Rise of Cobra
239,Action,14869,G.I. Joe: The Rise of Cobra
240,Thriller,14869,G.I. Joe: The Rise of Cobra
241,SciFi,14869,G.I. Joe: The Rise of Cobra
242,Drama,150540,Inside Out
243,Comedy,150540,Inside Out
244,Animation,150540,Inside Out
245,Family,150540,Inside Out
246,Family,278927,The Jungle Book
247,Adventure,278927,The Jungle Book
248,Drama,278927,The Jungle Book
249,Fantasy,278927,The Jungle Book
250,Adventure,10138,Iron Man 2
251,Action,10138,Iron Man 2
252,SciFi,10138,Iron Man 2
253,Adventure,58595,Snow White and the Huntsman
254,Fantasy,58595,Snow White and the Huntsman
255,Drama,58595,Snow White and the Huntsman
256,Fantasy,102651,Maleficent
257,Adventure,102651,Maleficent
258,Action,102651,Maleficent
259,Family,102651,Maleficent
260,Romance,102651,Maleficent
261,SciFi,119450,Dawn of the Planet of the Apes
262,Action,119450,Dawn of the Planet of the Apes
263,Drama,119450,Dawn of the Planet of the Apes
264,Thriller,119450,Dawn of the Planet of the Apes
265,Action,79698,The Lovers
266,Adventure,79698,The Lovers
267,SciFi,79698,The Lovers
268,Romance,79698,The Lovers
269,Drama,64686,47 Ronin
270,Action,64686,47 Ronin
271,Adventure,64686,47 Ronin
272,Fantasy,64686,47 Ronin
273,Action,100402,Captain America: The Winter Soldier
274,Adventure,100402,Captain America: The Winter Soldier
275,SciFi,100402,Captain America: The Winter Soldier
276,Comedy,10192,Shrek Forever After
277,Adventure,10192,Shrek Forever After
278,Fantasy,10192,Shrek Forever After
279,Animation,10192,Shrek Forever After
280,Family,10192,Shrek Forever After
281,Adventure,158852,Tomorrowland
282,Family,158852,Tomorrowland
283,Mystery,158852,Tomorrowland
284,SciFi,158852,Tomorrowland
285,Adventure,177572,Big Hero 6
286,Family,177572,Big Hero 6
287,Animation,177572,Big Hero 6
288,Action,177572,Big Hero 6
289,Comedy,177572,Big Hero 6
290,Family,82690,Wreck-It Ralph
291,Animation,82690,Wreck-It Ralph
292,Comedy,82690,Wreck-It Ralph
293,Adventure,82690,Wreck-It Ralph
294,Adventure,5255,The Polar Express
295,Animation,5255,The Polar Express
296,Family,5255,The Polar Express
297,Fantasy,5255,The Polar Express
298,Action,47933,Independence Day: Resurgence
299,Adventure,47933,Independence Day: Resurgence
300,SciFi,47933,Independence Day: Resurgence
301,Fantasy,10191,How to Train Your Dragon
302,Adventure,10191,How to Train Your Dragon
303,Animation,10191,How to Train Your Dragon
304,Family,10191,How to Train Your Dragon
305,Action,296,Terminator 3: Rise of the Machines
306,Thriller,296,Terminator 3: Rise of the Machines
307,SciFi,296,Terminator 3: Rise of the Machines
308,Action,118340,Guardians of the Galaxy
309,SciFi,118340,Guardians of the Galaxy
310,Adventure,118340,Guardians of the Galaxy
311,Adventure,157336,Interstellar
312,Drama,157336,Interstellar
313,SciFi,157336,Interstellar
314,Action,27205,Inception
315,Thriller,27205,Inception
316,SciFi,27205,Inception
317,Mystery,27205,Inception
318,Adventure,27205,Inception
319,Action,315011,Shin Godzilla
320,Adventure,315011,Shin Godzilla
321,Drama,315011,Shin Godzilla
322,Horror,315011,Shin Godzilla
323,SciFi,315011,Shin Godzilla
324,Adventure,49051,The Hobbit: An Unexpected Journey
325,Fantasy,49051,The Hobbit: An Unexpected Journey
326,Action,49051,The Hobbit: An Unexpected Journey
327,Action,9799,The Fast and the Furious
328,Crime,9799,The Fast and the Furious
329,Thriller,9799,The Fast and the Furious
330,Fantasy,4922,The Curious Case of Benjamin Button
331,Drama,4922,The Curious Case of Benjamin Button
332,Thriller,4922,The Curious Case of Benjamin Button
333,Mystery,4922,The Curious Case of Benjamin Button
334,Romance,4922,The Curious Case of Benjamin Button
335,Action,49538,X-Men: First Class
336,SciFi,49538,X-Men: First Class
337,Adventure,49538,X-Men: First Class
338,Action,131634,The Hunger Games: Mockingjay - Part 2
339,Adventure,131634,The Hunger Games: Mockingjay - Part 2
340,SciFi,131634,The Hunger Games: Mockingjay - Part 2
341,Fantasy,27022,The Sorcerer's Apprentice
342,Adventure,27022,The Sorcerer's Apprentice
343,Action,27022,The Sorcerer's Apprentice
344,Comedy,27022,The Sorcerer's Apprentice
345,Drama,27022,The Sorcerer's Apprentice
346,Adventure,503,Poseidon
347,Action,503,Poseidon
348,Drama,503,Poseidon
349,Thriller,503,Poseidon
350,Fantasy,241259,Alice Through the Looking Glass
351,Fantasy,810,Shrek the Third
352,Adventure,810,Shrek the Third
353,Animation,810,Shrek the Third
354,Comedy,810,Shrek the Third
355,Family,810,Shrek the Third
356,Action,68735,Warcraft
357,Adventure,68735,Warcraft
358,Fantasy,68735,Warcraft
359,SciFi,87101,Terminator Genisys
360,Action,87101,Terminator Genisys
361,Thriller,87101,Terminator Genisys
362,Adventure,87101,Terminator Genisys
363,Adventure,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader
364,Family,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader
365,Fantasy,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader
366,History,676,Pearl Harbor
367,Romance,676,Pearl Harbor
368,War,676,Pearl Harbor
369,Adventure,1858,Transformers
370,SciFi,1858,Transformers
371,Action,1858,Transformers
372,War,1966,Alexander
373,History,1966,Alexander
374,Action,1966,Alexander
375,Adventure,1966,Alexander
376,Drama,1966,Alexander
377,Romance,1966,Alexander
378,Adventure,675,Harry Potter and the Order of the Phoenix
379,Fantasy,675,Harry Potter and the Order of the Phoenix
380,Family,675,Harry Potter and the Order of the Phoenix
381,Mystery,675,Harry Potter and the Order of the Phoenix
382,Adventure,674,Harry Potter and the Goblet of Fire
383,Fantasy,674,Harry Potter and the Goblet of Fire
384,Family,674,Harry Potter and the Goblet of Fire
385,Fantasy,8960,Hancock
386,Action,8960,Hancock
387,Drama,6479,I Am Legend
388,Horror,6479,I Am Legend
389,Action,6479,I Am Legend
390,Thriller,6479,I Am Legend
391,SciFi,6479,I Am Legend
392,Adventure,118,Charlie and the Chocolate Factory
393,Comedy,118,Charlie and the Chocolate Factory
394,Family,118,Charlie and the Chocolate Factory
395,Fantasy,118,Charlie and the Chocolate Factory
396,Animation,2062,Ratatouille
397,Comedy,2062,Ratatouille
398,Family,2062,Ratatouille
399,Fantasy,2062,Ratatouille
400,Action,272,Batman Begins
401,Crime,272,Batman Begins
402,Drama,272,Batman Begins
403,Family,10527,Madagascar: Escape 2 Africa
404,Animation,10527,Madagascar: Escape 2 Africa
405,Adventure,18360,Night at the Museum: Battle of the Smithsonian
406,Fantasy,18360,Night at the Museum: Battle of the Smithsonian
407,Action,18360,Night at the Museum: Battle of the Smithsonian
408,Comedy,18360,Night at the Museum: Battle of the Smithsonian
409,Family,18360,Night at the Museum: Battle of the Smithsonian
410,Adventure,2080,X-Men Origins: Wolverine
411,Action,2080,X-Men Origins: Wolverine
412,Thriller,2080,X-Men Origins: Wolverine
413,SciFi,2080,X-Men Origins: Wolverine
414,Adventure,605,The Matrix Revolutions
415,Action,605,The Matrix Revolutions
416,Thriller,605,The Matrix Revolutions
417,SciFi,605,The Matrix Revolutions
418,Animation,109445,Frozen
419,Adventure,109445,Frozen
420,Family,109445,Frozen
421,Adventure,604,The Matrix Reloaded
422,Action,604,The Matrix Reloaded
423,Thriller,604,The Matrix Reloaded
424,SciFi,604,The Matrix Reloaded
425,Action,76338,Thor: The Dark World
426,Adventure,76338,Thor: The Dark World
427,Fantasy,76338,Thor: The Dark World
428,Action,76341,Mad Max: Fury Road
429,Adventure,76341,Mad Max: Fury Road
430,SciFi,76341,Mad Max: Fury Road
431,Thriller,76341,Mad Max: Fury Road
432,Thriller,13448,Angels & Demons
433,Mystery,13448,Angels & Demons
434,Adventure,10195,Thor
435,Fantasy,10195,Thor
436,Action,10195,Thor
437,Animation,13053,Bolt
438,Family,13053,Bolt
439,Adventure,13053,Bolt
440,Comedy,13053,Bolt
441,Fantasy,19585,G-Force
442,Action,19585,G-Force
443,Adventure,19585,G-Force
444,Family,19585,G-Force
445,Comedy,19585,G-Force
446,Adventure,57165,Wrath of the Titans
447,Comedy,62213,Dark Shadows
448,Fantasy,62213,Dark Shadows
449,Action,177677,Mission: Impossible - Rogue Nation
450,Adventure,177677,Mission: Impossible - Rogue Nation
451,Thriller,177677,Mission: Impossible - Rogue Nation
452,Drama,7978,The Wolfman
453,Horror,7978,The Wolfman
454,Thriller,7978,The Wolfman
455,Family,5559,Bee Movie
456,Animation,5559,Bee Movie
457,Adventure,5559,Bee Movie
458,Comedy,5559,Bee Movie
459,Animation,49444,Kung Fu Panda 2
460,Family,49444,Kung Fu Panda 2
461,Action,10196,The Last Airbender
462,Adventure,10196,The Last Airbender
463,Family,10196,The Last Airbender
464,Fantasy,10196,The Last Airbender
465,Adventure,956,Mission: Impossible III
466,Action,956,Mission: Impossible III
467,Thriller,956,Mission: Impossible III
468,Action,117251,White House Down
469,Drama,117251,White House Down
470,Thriller,117251,White House Down
471,Adventure,50321,Mars Needs Moms
472,Animation,50321,Mars Needs Moms
473,Family,50321,Mars Needs Moms
474,Adventure,11619,Flushed Away
475,Animation,11619,Flushed Away
476,Comedy,11619,Flushed Away
477,Family,11619,Flushed Away
478,Adventure,266647,Pan
479,Family,266647,Pan
480,Fantasy,266647,Pan
481,Animation,82703,Mr. Peabody & Sherman
482,Adventure,82703,Mr. Peabody & Sherman
483,Family,82703,Mr. Peabody & Sherman
484,Adventure,652,Troy
485,Drama,652,Troy
486,War,652,Troy
487,Animation,80321,Madagascar 3: Europe's Most Wanted
488,Family,80321,Madagascar 3: Europe's Most Wanted
489,Adventure,36669,Die Another Day
490,Action,36669,Die Another Day
491,Thriller,36669,Die Another Day
492,Action,43074,Ghostbusters
493,Fantasy,43074,Ghostbusters
494,Comedy,43074,Ghostbusters
495,Action,95,Armageddon
496,Thriller,95,Armageddon
497,SciFi,95,Armageddon
498,Adventure,95,Armageddon
499,Action,608,Men in Black II
500,Adventure,608,Men in Black II
501,Comedy,608,Men in Black II
502,SciFi,608,Men in Black II
503,Adventure,2310,Beowulf
504,Action,2310,Beowulf
505,Animation,2310,Beowulf
506,Action,140300,Kung Fu Panda 3
507,Adventure,140300,Kung Fu Panda 3
508,Animation,140300,Kung Fu Panda 3
509,Comedy,140300,Kung Fu Panda 3
510,Family,140300,Kung Fu Panda 3
511,Action,56292,Mission: Impossible - Ghost Protocol
512,Thriller,56292,Mission: Impossible - Ghost Protocol
513,Adventure,56292,Mission: Impossible - Ghost Protocol
514,Fantasy,81188,Rise of the Guardians
515,Animation,81188,Rise of the Guardians
516,Family,81188,Rise of the Guardians
517,Comedy,7552,Fun with Dick and Jane
518,Drama,616,The Last Samurai
519,Action,616,The Last Samurai
520,War,616,The Last Samurai
521,History,616,The Last Samurai
522,Adventure,147441,Exodus: Gods and Kings
523,Drama,147441,Exodus: Gods and Kings
524,Action,147441,Exodus: Gods and Kings
525,SciFi,13475,Star Trek
526,Action,13475,Star Trek
527,Adventure,13475,Star Trek
528,Fantasy,557,Spider-Man
529,Action,557,Spider-Man
530,Fantasy,82702,How to Train Your Dragon 2
531,Action,82702,How to Train Your Dragon 2
532,Adventure,82702,How to Train Your Dragon 2
533,Animation,82702,How to Train Your Dragon 2
534,Comedy,82702,How to Train Your Dragon 2
535,Family,82702,How to Train Your Dragon 2
536,Fantasy,205584,Gods of Egypt
537,Action,10048,Stealth
538,Action,13183,Watchmen
539,Mystery,13183,Watchmen
540,SciFi,13183,Watchmen
541,Action,944,Lethal Weapon 4
542,Adventure,944,Lethal Weapon 4
543,Comedy,944,Lethal Weapon 4
544,Crime,944,Lethal Weapon 4
545,Thriller,944,Lethal Weapon 4
546,Drama,1927,Hulk
547,Action,1927,Hulk
548,SciFi,1927,Hulk
549,Adventure,72559,G.I. Joe: Retaliation
550,Action,72559,G.I. Joe: Retaliation
551,SciFi,72559,G.I. Joe: Retaliation
552,Thriller,72559,G.I. Joe: Retaliation
553,Action,7364,Sahara
554,Adventure,7364,Sahara
555,Comedy,7364,Sahara
556,Drama,7364,Sahara
557,Mystery,7364,Sahara
558,Adventure,2114,Final Fantasy: The Spirits Within
559,Action,2114,Final Fantasy: The Spirits Within
560,Animation,2114,Final Fantasy: The Spirits Within
561,Fantasy,2114,Final Fantasy: The Spirits Within
562,SciFi,2114,Final Fantasy: The Spirits Within
563,Thriller,2114,Final Fantasy: The Spirits Within
564,Action,1771,Captain America: The First Avenger
565,Adventure,1771,Captain America: The First Avenger
566,SciFi,1771,Captain America: The First Avenger
567,Adventure,36643,The World Is Not Enough
568,Action,36643,The World Is Not Enough
569,Thriller,36643,The World Is Not Enough
570,Adventure,8619,Master and Commander: The Far Side of the World
571,Adventure,50620,The Twilight Saga: Breaking Dawn - Part 2
572,Fantasy,50620,The Twilight Saga: Breaking Dawn - Part 2
573,Drama,50620,The Twilight Saga: Breaking Dawn - Part 2
574,Romance,50620,The Twilight Saga: Breaking Dawn - Part 2
575,Animation,65759,Happy Feet Two
576,Comedy,65759,Happy Feet Two
577,Family,65759,Happy Feet Two
578,SciFi,1724,The Incredible Hulk
579,Action,1724,The Incredible Hulk
580,Adventure,1724,The Incredible Hulk
581,Adventure,267935,The BFG
582,Family,267935,The BFG
583,Fantasy,267935,The BFG
584,Western,281957,The Revenant
585,Drama,281957,The Revenant
586,Adventure,281957,The Revenant
587,Thriller,281957,The Revenant
588,Animation,77950,Turbo
589,Family,77950,Turbo
590,Animation,44896,Rango
591,Comedy,44896,Rango
592,Family,44896,Rango
593,Western,44896,Rango
594,Adventure,44896,Rango
595,Family,270946,Penguins of Madagascar
596,Animation,270946,Penguins of Madagascar
597,Adventure,270946,Penguins of Madagascar
598,Comedy,270946,Penguins of Madagascar
599,Action,2503,The Bourne Ultimatum
600,Drama,2503,The Bourne Ultimatum
601,Mystery,2503,The Bourne Ultimatum
602,Thriller,2503,The Bourne Ultimatum
603,Adventure,9502,Kung Fu Panda
604,Animation,9502,Kung Fu Panda
605,Family,9502,Kung Fu Panda
606,Comedy,9502,Kung Fu Panda
607,SciFi,102899,Ant-Man
608,Action,102899,Ant-Man
609,Adventure,102899,Ant-Man
610,Adventure,101299,The Hunger Games: Catching Fire
611,Action,101299,The Hunger Games: Catching Fire
612,SciFi,101299,The Hunger Games: Catching Fire
613,Fantasy,228161,Home
614,Comedy,228161,Home
615,Animation,228161,Home
616,SciFi,228161,Home
617,Family,228161,Home
618,Adventure,74,War of the Worlds
619,Thriller,74,War of the Worlds
620,SciFi,74,War of the Worlds
621,Adventure,8961,Bad Boys II
622,Action,8961,Bad Boys II
623,Comedy,8961,Bad Boys II
624,Thriller,8961,Bad Boys II
625,Crime,8961,Bad Boys II
626,Action,417859,Puss in Boots
627,Adventure,417859,Puss in Boots
628,Animation,417859,Puss in Boots
629,Family,417859,Puss in Boots
630,Fantasy,417859,Puss in Boots
631,Action,27576,Salt
632,Mystery,27576,Salt
633,Thriller,27576,Salt
634,Drama,86834,Noah
635,Adventure,86834,Noah
636,Adventure,17578,The Adventures of Tintin
637,Animation,17578,The Adventures of Tintin
638,Mystery,17578,The Adventures of Tintin
639,Adventure,673,Harry Potter and the Prisoner of Azkaban
640,Fantasy,673,Harry Potter and the Prisoner of Azkaban
641,Family,673,Harry Potter and the Prisoner of Azkaban
642,Drama,6972,Australia
643,SciFi,82700,After Earth
644,Action,82700,After Earth
645,Adventure,82700,After Earth
646,Animation,10567,Dinosaur
647,Family,10567,Dinosaur
648,Adventure,181533,Night at the Museum: Secret of the Tomb
649,Comedy,181533,Night at the Museum: Secret of the Tomb
650,Fantasy,181533,Night at the Museum: Secret of the Tomb
651,Family,181533,Night at the Museum: Secret of the Tomb
652,Animation,38055,Megamind
653,Action,38055,Megamind
654,Comedy,38055,Megamind
655,Family,38055,Megamind
656,SciFi,38055,Megamind
657,Adventure,671,Harry Potter and the Philosopher's Stone
658,Fantasy,671,Harry Potter and the Philosopher's Stone
659,Family,671,Harry Potter and the Philosopher's Stone
660,Fantasy,49524,R.I.P.D.
661,Action,49524,R.I.P.D.
662,Comedy,49524,R.I.P.D.
663,Crime,49524,R.I.P.D.
664,Adventure,22,Pirates of the Caribbean: The Curse of the Black Pearl
665,Fantasy,22,Pirates of the Caribbean: The Curse of the Black Pearl
666,Action,22,Pirates of the Caribbean: The Curse of the Black Pearl
667,SciFi,131631,The Hunger Games: Mockingjay - Part 1
668,Adventure,131631,The Hunger Games: Mockingjay - Part 1
669,Thriller,131631,The Hunger Games: Mockingjay - Part 1
670,Thriller,591,The Da Vinci Code
671,Mystery,591,The Da Vinci Code
672,Animation,172385,Rio 2
673,Adventure,172385,Rio 2
674,Comedy,172385,Rio 2
675,Family,172385,Rio 2
676,Adventure,36658,X2
677,Action,36658,X2
678,SciFi,36658,X2
679,Thriller,36658,X2
680,Action,51497,Fast Five
681,Thriller,51497,Fast Five
682,Crime,51497,Fast Five
683,Adventure,58574,Sherlock Holmes: A Game of Shadows
684,Action,58574,Sherlock Holmes: A Game of Shadows
685,Crime,58574,Sherlock Holmes: A Game of Shadows
686,Mystery,58574,Sherlock Holmes: A Game of Shadows
687,Adventure,18823,Clash of the Titans
688,Fantasy,18823,Clash of the Titans
689,Action,18823,Clash of the Titans
690,Action,861,Total Recall
691,Adventure,861,Total Recall
692,SciFi,861,Total Recall
693,Adventure,1911,The 13th Warrior
694,Fantasy,1911,The 13th Warrior
695,Action,1911,The 13th Warrior
696,Action,49040,The Bourne Legacy
697,Thriller,49040,The Bourne Legacy
698,Action,415,Batman & Robin
699,Crime,415,Batman & Robin
700,Fantasy,415,Batman & Robin
701,Family,8871,How the Grinch Stole Christmas
702,Comedy,8871,How the Grinch Stole Christmas
703,Fantasy,8871,How the Grinch Stole Christmas
704,Action,435,The Day After Tomorrow
705,Adventure,435,The Day After Tomorrow
706,SciFi,435,The Day After Tomorrow
707,Thriller,435,The Day After Tomorrow
708,Adventure,955,Mission: Impossible II
709,Action,955,Mission: Impossible II
710,Thriller,955,Mission: Impossible II
711,Drama,2133,The Perfect Storm
712,Adventure,1979,Fantastic 4: Rise of the Silver Surfer
713,Fantasy,1979,Fantastic 4: Rise of the Silver Surfer
714,Action,1979,Fantastic 4: Rise of the Silver Surfer
715,Thriller,1979,Fantastic 4: Rise of the Silver Surfer
716,Adventure,87827,Life of Pi
717,Drama,87827,Life of Pi
718,Action,87827,Life of Pi
719,Thriller,1250,Ghost Rider
720,Action,1250,Ghost Rider
721,Fantasy,1250,Ghost Rider
722,Horror,1250,Ghost Rider
723,Action,324668,Jason Bourne
724,Thriller,324668,Jason Bourne
725,Action,9471,Charlie's Angels: Full Throttle
